,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,timepoint ID,Duplicate
0,k403,Ramicane,Male,21,16,0,45.0,0,k4030,False
1,k403,Ramicane,Male,21,16,5,38.82589807,0,k4035,False
2,k403,Ramicane,Male,21,16,10,35.01427146,1,k40310,False
3,k403,Ramicane,Male,21,16,15,34.22399174,1,k40315,False
4,k403,Ramicane,Male,21,16,20,32.99772858,1,k40320,False
5,k403,Ramicane,Male,21,16,25,33.46457735,1,k40325,False
6,k403,Ramicane,Male,21,16,30,31.09949753,1,k40330,False
7,k403,Ramicane,Male,21,16,35,26.54699343,1,k40335,False
8,k403,Ramicane,Male,21,16,40,24.36550471,1,k40340,False
9,k403,Ramicane,Male,21,16,45,22.05012627,1,k40345,False
10,s185,Capomulin,Female,3,17,0,45.0,0,s1850,False
11,s185,Capomulin,Female,3,17,5,43.87849569,0,s1855,False
12,s185,Capomulin,Female,3,17,10,37.61494768,0,s18510,False
13,s185,Capomulin,Female,3,17,15,38.17723195,0,s18515,False
14,s185,Capomulin,Female,3,17,20,36.86687576,0,s18520,False
15,s185,Capomulin,Female,3,17,25,33.94994037,0,s18525,False
16,s185,Capomulin,Female,3,17,30,32.95967078,1,s18530,False
17,s185,Capomulin,Female,3,17,35,28.32853059,1,s18535,False
18,s185,Capomulin,Female,3,17,40,25.47214326,1,s18540,False
19,s185,Capomulin,Female,3,17,45,23.34359787,1,s18545,False
20,x401,Capomulin,Female,16,15,0,45.0,0,x4010,False
21,x401,Capomulin,Female,16,15,5,45.47375302,0,x4015,False
22,x401,Capomulin,Female,16,15,10,39.11389068,0,x40110,False
23,x401,Capomulin,Female,16,15,15,39.77625003,0,x40115,False
24,x401,Capomulin,Female,16,15,20,36.06583471,0,x40120,False
25,x401,Capomulin,Female,16,15,25,36.61712031,0,x40125,False
26,x401,Capomulin,Female,16,15,30,32.91529186,0,x40130,False
27,x401,Capomulin,Female,16,15,35,30.20682488,0,x40135,False
28,x401,Capomulin,Female,16,15,40,28.16739732,0,x40140,False
29,x401,Capomulin,Female,16,15,45,28.48403281,0,x40145,False
30,m601,Capomulin,Male,22,17,0,45.0,0,m6010,False
31,m601,Capomulin,Male,22,17,5,41.40859145,1,m6015,False
32,m601,Capomulin,Male,22,17,10,36.82536664,1,m60110,False
33,m601,Capomulin,Male,22,17,15,35.46461175,1,m60115,False
34,m601,Capomulin,Male,22,17,20,34.255731700000005,1,m60120,False
35,m601,Capomulin,Male,22,17,25,33.11875607,1,m60125,False
36,m601,Capomulin,Male,22,17,30,31.75827491,1,m60130,False
37,m601,Capomulin,Male,22,17,35,30.83435704,1,m60135,False
38,m601,Capomulin,Male,22,17,40,31.378045299999997,1,m60140,False
39,m601,Capomulin,Male,22,17,45,28.43096411,1,m60145,False
40,g791,Ramicane,Male,11,16,0,45.0,0,g7910,False
41,g791,Ramicane,Male,11,16,5,45.85153062,0,g7915,False
42,g791,Ramicane,Male,11,16,10,40.17055848,0,g79110,False
43,g791,Ramicane,Male,11,16,15,40.67812852,0,g79115,False
44,g791,Ramicane,Male,11,16,20,41.211897,0,g79120,False
45,g791,Ramicane,Male,11,16,25,35.56939935,1,g79125,False
46,g791,Ramicane,Male,11,16,30,34.95258284,1,g79130,False
47,g791,Ramicane,Male,11,16,35,30.96039194,1,g79135,False
